market_id,state,district,market,date,min,max,modal,spread,was_missing,is_filled
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-06,200.0,1252.0,800.0,1052.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-07,200.0,1335.0,780.0,1135.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-08,200.0,1331.0,680.0,1131.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-09,200.0,1319.0,680.0,1119.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-10,211.0,1432.0,760.0,1221.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-11,211.0,1432.0,760.0,1221.0,True,True
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-12,300.0,1430.0,780.0,1130.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-13,350.0,1500.0,700.0,1150.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-14,200.0,1303.0,680.0,1103.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-15,200.0,1400.0,650.0,1200.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-16,200.0,1250.0,700.0,1050.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-17,200.0,1250.0,700.0,1050.0,True,True
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-18,200.0,1250.0,700.0,1050.0,True,True
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-19,200.0,1452.0,700.0,1252.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-20,300.0,1525.0,700.0,1225.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-21,350.0,1500.0,850.0,1150.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-22,300.0,1500.0,950.0,1200.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-23,400.0,1626.0,950.0,1226.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-24,400.0,1464.0,980.0,1064.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-25,400.0,1464.0,980.0,1064.0,True,True
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-26,301.0,1431.0,1000.0,1130.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-27,300.0,1540.0,1150.0,1240.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-28,300.0,1580.0,1230.0,1280.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-29,300.0,1400.0,950.0,1100.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-06-30,400.0,1730.0,1370.0,1330.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-07-01,400.0,1653.0,1350.0,1253.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-07-02,400.0,1653.0,1350.0,1253.0,True,True
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-07-03,480.0,1700.0,1300.0,1220.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-07-04,500.0,1630.0,1400.0,1130.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-07-05,401.0,1626.0,1260.0,1225.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-07-06,300.0,1625.0,1250.0,1325.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-07-07,300.0,1701.0,1200.0,1401.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-07-08,400.0,1718.0,1060.0,1318.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-07-09,400.0,1718.0,1060.0,1318.0,True,True
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-07-10,400.0,1600.0,1050.0,1200.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-07-11,450.0,1617.0,1100.0,1167.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-07-12,391.0,1676.0,1250.0,1285.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-07-13,401.0,1639.0,1180.0,1238.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-07-14,290.0,1650.0,1100.0,1360.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-07-15,300.0,1600.0,1120.0,1300.0,False,False
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-07-16,300.0,1600.0,1120.0,1300.0,True,True
Maharashtra | nashik | Chandvad,Maharashtra,nashik,Chandvad,2023-07-17,300.0,1600.0,1120.0,1300.0,True,True
